Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
2012,7,False,-2.415,-2.56,-2.151,-2.346,-0.76,-1.8,0.699,-2.257,1.11,-2.295,-0.832,0.051,0.174,0.106,0.392,1.166,-2.148,-0.272,-0.202
2012,4,False,1.446,-0.846,2.57,-0.805,3.638,4.332,0.606,-1.631,-0.013,1.9,0.027,-1.882,3.515,3.495,2.038,0.376,0.534,-0.267,-5.889
2012,5,False,0.713,-0.991,3.103,0.467,0.88,-0.076,-4.29,-0.347,1.531,-2.23,-0.761,2.873,2.76,2.582,1.773,-2.177,-0.73,-0.29,1.072
2013,5,True,-0.604,-3.282,1.718,-2.876,1.666,1.238,-0.365,-1.233,3.273,-3.834,1.665,3.77,3.48,3.158,3.595,-1.311,-2.698,-0.395,4.732
2013,6,False,-2.447,-1.881,-1.16,-0.08,-0.888,-1.302,3.162,1.601,2.801,-2.057,-3.563,-1.218,-1.078,-1.082,-0.078,4.002,1.993,-0.373,-1.234
2013,5,False,-1.49,-1.855,-1.802,-3.161,-2.258,-3.123,-5.247,-0.966,2.172,-3.336,0.057,2.088,0.233,0.203,-1.159,-2.674,-0.19,-0.395,-2.55
2013,6,False,0.47,0.418,-0.302,-0.649,-0.855,-0.921,-3.891,-0.779,0.049,-0.849,-0.949,-1.566,0.114,0.139,-0.424,-1.311,-1.242,-0.392,1.486
2014,6,False,-2.858,-3.437,-2.825,-3.076,-1.554,-1.552,-1.235,-4.461,0.512,-2.192,0.597,-1.75,-0.376,-0.403,0.015,-1.486,-4.407,-0.343,1.786
2014,5,False,-0.905,-1.808,3.195,2.698,2.908,2.247,-3.353,-2.978,2.079,2.281,-0.164,-1.75,1.147,0.803,0.65,-2.248,-3.268,-0.329,1.848
2014,5,True,1.535,-0.935,1.348,-2.408,0.383,0.857,-5.588,-1.105,-1.929,-2.516,0.597,-1.373,3.759,3.816,2.799,-4.618,-0.743,-0.366,-0.26
2014,6,False,1.18,2.237,1.443,2.777,1.542,0.579,0.882,1.237,3.099,0.531,-3.375,-0.727,-0.92,-0.892,0.211,4.015,1.166,-0.327,-0.384
2015,6,False,-1.618,-4.038,0.908,-0.095,-0.533,-1.217,-1.403,1.919,1.692,-4.159,-2.441,-0.069,0.91,0.738,1.319,1.357,0.654,-0.167,1.166
2015,6,False,-1.296,-2.069,-1.53,-1.944,-2.141,-1.963,-0.071,0.322,-1.334,-2.215,-0.188,-1.655,-0.132,-0.14,-0.312,0.134,-0.388,-0.178,0.898
2015,7,False,2.102,7.049,-0.548,2.276,-0.23,-0.222,0.594,0.2,5.334,2.734,-1.014,3.532,-2.027,-2.093,-1.655,1.51,2.122,-0.165,-2.779
2015,6,True,-1.296,-4.763,-0.447,-3.129,1.638,2.08,3.352,-0.844,-1.727,-4.512,-0.638,0.053,1.668,1.552,4.054,3.344,-0.577,-0.191,-0.104
2016,4,True,2.003,-0.433,4.79,1.529,2.33,3.113,-0.788,2.316,-2.678,1.658,0.0,-0.802,2.601,2.43,1.39,-0.457,2.092,-0.217,-0.355
2016,7,False,-1.886,-1.984,-1.486,-1.39,-2.155,-2.043,-1.661,-0.249,0.587,-0.733,0.356,0.624,-0.229,-0.257,-1.069,-1.254,0.235,-0.199,-0.792
2016,5,False,3.726,4.219,3.081,3.337,2.317,1.861,-1.911,0.606,0.638,0.578,-2.046,1.48,0.187,0.254,1.014,0.557,0.316,-0.206,0.325
2016,6,False,-0.92,0.136,-0.266,1.405,-0.136,-0.691,1.084,1.329,1.709,0.424,-3.202,-2.114,-1.086,-1.063,-0.66,3.238,2.334,-0.168,-2.247
2017,4,False,2.107,-0.877,3.175,-1.762,4.191,3.475,0.567,-2.708,5.89,-1.589,-3.346,-1.67,3.757,3.728,3.633,3.458,1.231,-0.284,-7.19
2017,7,False,0.765,1.47,1.252,2.59,1.613,1.509,-0.243,-1.098,1.192,0.08,-0.246,0.508,-0.556,-0.53,1.249,0.062,-3.044,-0.327,5.26
2017,4,True,0.921,-2.29,1.741,-3.654,1.699,1.115,-4.291,-3.412,1.959,-3.356,-1.796,0.131,3.728,3.639,2.379,-1.253,0.565,-0.32,-6.786
2017,6,False,0.362,-0.17,0.832,0.035,-1.209,-0.507,-2.996,3.381,-4.752,0.767,-0.604,-1.419,0.677,0.661,-0.758,-1.472,3.333,-0.334,-2.259
2018,5,False,-0.416,-0.41,-0.207,-0.171,-0.171,-0.503,-2.436,-2.334,1.837,-2.791,-2.003,0.861,-0.038,-0.058,1.553,-0.263,-4.497,-0.235,4.95
2018,4,False,3.012,-0.068,6.449,1.781,2.683,3.182,-6.493,-1.036,-0.204,1.122,-0.175,1.57,4.502,4.21,1.646,-4.005,-2.036,-0.253,2.274
2018,5,True,2.021,0.523,-0.771,-2.829,-0.681,-0.871,-1.944,-1.709,-0.087,-1.105,-0.663,-3.442,1.885,2.115,0.102,-0.809,0.702,-0.217,-4.071
2018,5,False,0.207,-1.904,0.277,-2.663,-0.022,-0.441,-3.173,-2.623,0.379,0.245,2.14,-0.991,2.732,2.658,-0.506,-3.382,0.345,-0.231,-4.835
2019,5,False,0.064,-1.866,-1.382,-4.011,-1.295,-1.293,-2.374,-2.247,0.616,-5.828,-0.102,3.449,1.939,2.014,1.293,-0.993,1.082,-0.269,-4.262
