Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Actual Wins (%),Team TS%,Opp TS%
2020,DEN,LAC,7,103.6,103.1,109.6,109.1,53.6,51.1,13.9,12.9,21.8,23.2,20.4,21.8,False,57.143,57.2561,55.2596
2020,LAL,HOU,5,111.0,103.8,115.1,107.7,58.5,53.4,16.0,13.8,25.4,13.4,19.7,24.9,True,80.0,61.3667,57.682
2021,MIL,BRK,7,101.9,104.7,104.2,107.2,49.8,52.9,11.6,11.1,22.4,15.3,14.4,14.1,True,57.143,52.0803,55.7296
2021,ATL,PHI,7,107.9,110.7,109.1,112.0,50.6,55.0,10.8,12.4,19.7,20.4,22.6,23.4,False,57.143,54.9139,57.8082
2021,PHO,DEN,4,121.5,105.8,123.7,107.7,59.0,50.9,10.3,10.1,17.4,23.2,22.9,10.9,False,100.0,63.3274,52.5179
2021,LAC,UTA,6,120.0,111.5,128.2,119.1,59.8,57.3,10.0,12.6,22.7,22.9,24.2,20.9,False,66.667,63.8388,60.3965
2022,BOS,MIL,7,105.6,97.7,108.8,100.7,52.7,45.9,11.9,11.3,16.4,23.6,19.4,17.4,False,57.143,56.3434,49.6429
2022,MIA,PHI,6,105.2,97.5,112.7,104.5,52.1,51.4,12.5,14.7,25.5,17.7,22.0,21.7,False,66.667,56.3997,55.9487
2022,DAL,PHO,7,107.6,104.4,115.9,112.5,55.7,54.1,11.4,14.4,18.1,27.8,21.1,18.1,False,57.143,59.1386,57.5699
2022,GSW,MEM,6,111.0,110.3,109.0,108.4,53.3,49.6,15.5,10.3,26.9,24.3,15.2,17.2,True,66.667,56.1362,52.8214
2023,MIA,NYK,6,104.3,100.5,112.7,108.5,49.3,50.2,9.7,13.4,23.2,27.2,22.9,26.0,False,66.667,54.1597,54.7266
2023,BOS,PHI,7,110.7,101.9,118.2,108.7,55.4,49.8,10.8,11.4,21.3,19.1,21.1,22.9,False,57.143,59.3706,55.0528
2023,DEN,PHO,6,117.2,107.7,121.3,111.4,55.4,53.4,10.0,11.2,26.4,19.4,21.9,17.0,True,66.667,59.4594,56.4962
2023,LAL,GSW,6,112.7,109.8,113.9,111.1,53.5,52.3,10.0,12.4,19.1,27.0,24.5,10.5,False,66.667,57.8371,54.1763
2024,IND,NYK,7,115.3,111.3,124.4,120.1,60.3,53.2,11.2,10.6,26.0,30.6,14.0,22.3,False,57.143,62.1037,57.1852
2024,BOS,CLE,5,108.4,101.2,120.4,112.4,57.1,53.3,11.3,8.6,25.7,16.9,18.0,10.2,True,80.0,60.394,55.1775
2024,DAL,OKC,6,106.0,106.0,112.3,112.3,53.5,50.9,13.1,9.4,28.2,22.4,17.4,18.1,False,66.667,55.7934,54.7709
2024,MIN,DEN,7,102.7,97.6,113.8,108.1,53.9,51.7,11.5,12.4,22.8,21.1,20.1,17.3,False,57.143,57.2051,55.1482
2025,IND,CLE,5,117.6,114.2,116.7,113.3,58.5,49.0,13.3,11.7,18.0,28.8,22.0,29.5,False,80.0,61.7907,54.748
2025,NYK,BOS,6,105.7,105.2,112.9,112.4,50.8,51.5,11.7,12.2,29.6,27.6,21.1,17.6,False,66.667,54.415,54.7933
2025,OKC,DEN,7,115.4,106.3,114.6,105.6,51.8,48.1,9.7,15.1,24.9,28.0,20.8,24.9,True,57.143,55.5708,53.2585
2025,MIN,GSW,5,109.0,101.8,113.9,106.4,56.7,49.4,16.8,15.4,26.2,32.0,18.9,22.7,False,80.0,59.8165,53.7419
2026,NYK,PHI,4,124.3,102.0,132.3,108.6,63.6,51.4,12.6,13.7,32.1,21.6,23.3,25.5,True,100.0,66.2102,55.9456
2026,CLE,DET,7,108.9,107.4,115.6,114.1,53.7,52.5,14.6,14.0,29.4,32.3,29.9,20.3,False,57.143,58.5721,56.1966
2026,SAS,MIN,6,120.7,104.5,119.0,103.1,56.5,46.4,12.5,12.0,26.9,24.0,25.0,19.1,False,66.667,60.5756,50.2211
2026,OKC,LAL,4,119.8,103.8,126.6,109.7,61.4,54.1,12.2,17.4,26.1,26.9,17.6,21.9,False,100.0,64.2642,58.1493
